E_Init: Successfully Allocated game->playr
M_Init: Successfully opened file map file
M_Init: Successfully opened file map file
M_Init: Successfully opened file map file
M_Init: Successfully opened file map file
M_Init: Successfully opened file map file
M_Init: Successfully opened file map file
M_Init: Successfully opened file map file
M_Init: Successfully opened file map file
M_Init: Successfully opened file map file
M_Init: Successfully created RUNTIME/mapfile.txt
M_Init: Successfully Closed RUNTIME/mapfile.txt
TUI_Init: game->screen allocated successfully
TUI_Init: has_colors() = true
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
P_Ticker: gamestate = 2
P_Ticker: gamescreen = 1
